pmid	year	title	journal	affiliation	country
28003598	2016	An iTRAQ-based quantitative proteomics study of refractory mycoplasma pneumoniae pneumonia patients.	Japanese journal of infectious diseases	Guangzhou Women and Children's Medical Center, Guangzhou Medical University.	Japan
28000890	2016	Combined analysis of gene expression, miRNA expression and DNA methylation profiles of osteosarcoma.	Oncology reports	Department of Joint Surgery, The Affiliated Hospital of Qingdao University, Qingdao, Shandong 266003, P.R. China.	Greece
28000864	2016	Identification of therapeutic targets for Parkinson's disease via bioinformatics analysis.	Molecular medicine reports	Department of Nerve Electrophysiology, Tianjin Huanhu Hospital, Tianjin 300060, P.R. China.	Greece
28000438	2016	Gogadget: an R Package for Interpretation and Visualization of GO Enrichment Results.	Molecular informatics	Department of Research Facilities, Sanquin Research and Landsteiner Laboratory, Academic Medical Center, University of Amsterdam, Amsterdam, The Netherlands.	Germany
27964719	2016	Pathway collages: personalized multi-pathway diagrams.	BMC bioinformatics	Bioinformatics Research Group, SRI International, 333 Ravenswood Ave, Menlo Park, 94025, USA.	United States
27959423	2016	Comparative analysis of hepatocellular carcinoma and cirrhosis gene expression profiles.	Molecular medicine reports	Department of Obstetrics and Gynecology, The 180th Hospital of Chinese People's Liberation Army, Quanzhou, Fujian 362000, P.R. China.	Greece
27956081	2016	Gene markers of fracture healing in early stage and the regulatory mechanism during the process using microarray analysis.	Acta orthopaedica et traumatologica turcica	The First Hospital of Jilin University, China.	Turkey
27942860	2016	Comprehensive gene and microRNA expression profiling reveals a role for miRNAs in the oncogenic roles of SphK1 in papillary thyroid cancer.	Journal of cancer research and clinical oncology	Department of Endocrinology and Diabetes Center, The First Affiliated Hospital of Sun Yat-sen University, 58 Zhongshan Road II, Guangzhou, 510080, Guangdong, China.	Germany
27924018	2016	DisGeNET: a comprehensive platform integrating information on human disease-associated genes and variants.	Nucleic acids research	Research Programme on Biomedical Informatics (GRIB), Hospital del Mar Medical Research Institute (IMIM), Department of Experimental and Health Sciences (DCEXS), Universitat Pompeu Fabra (UPF), C/Dr Aiguader 88, E-08003 Barcelona, Spain.	England
27924014	2016	The STRING database in 2017: quality-controlled protein-protein association networks, made broadly accessible.	Nucleic acids research	Institute of Molecular Life Sciences and Swiss Institute of Bioinformatics, University of Zurich, 8057 Zurich, Switzerland.	England
27922680	2016	Identification of key genes induced by platelet-rich plasma in human dermal papilla cells using bioinformatics methods.	Molecular medicine reports	Department of Plastic Surgery, Hangzhou First People's Hospital, Nanjing Medical University, Hangzhou, Zhejiang 310006, P.R. China.	Greece
27907142	2016	IBiSA_Tools: A Computational Toolkit for Ion-Binding State Analysis in Molecular Dynamics Trajectories of Ion Channels.	PloS one	College of Life Sciences, Ritsumeikan University, Kusatsu, Shiga, Japan.	United States
27900679	2016	Bioinformatic Profiling Identifies a Glucose-Related Risk Signature for the Malignancy of Glioma and the Survival of Patients.	Molecular neurobiology	Department of Health Management, School of Public Health, Harbin Medical University, No. 157 Baojian Road, NanGang District, Harbin, Heilongjiang Province, 150081, China.	United States
27899966	2016	Analysis of the molecular mechanism of osteosarcoma using a bioinformatics approach.	Oncology letters	Department of Traumatology Five, Linyi People's Hospital, Linyi, Shandong 276000, P.R. China.	Greece
27896985	2016	A NEW RELEVANCE ESTIMATOR FOR THE COMPILATION AND VISUALIZATION OF DISEASE PATTERNS AND POTENTIAL DRUG TARGETS.	Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing	Research Information Management, Actelion Pharmaceuticals Ltd., Gewerbestrasse 16 Allschwil, 4123, Switzerland, modest.korff@actelion.com.	United States
27895852	2016	Protein-protein interaction network of celiac disease.	Gastroenterology and hepatology from bed to bench	Basic and Molecular Epidemiology of Gastrointestinal Disorders Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.	Iran
27895744	2016	Identification of targets of miRNA-221 and miRNA-222 in fulvestrant-resistant breast cancer.	Oncology letters	Department of Lymphoma, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Key Laboratory of Cancer Prevention and Therapy, Tianjin 300060, P.R. China; Tianjin's Clinical Research Center for Cancer, Sino-US Center of Lymphoma and Leukemia, Tianjin 300060, P.R. China.	Greece
27895742	2016	Comparative analysis of gene expression profiles of gastric cardia adenocarcinoma and gastric non-cardia adenocarcinoma.	Oncology letters	Department of Gastrointestinal Surgery, China-Japan Union Hospital, Jilin University, Changchun, Jilin 130033, P.R. China.	Greece
27853512	2016	Contextual Hub Analysis Tool (CHAT): A Cytoscape app for identifying contextually relevant hubs in biological networks.	F1000Research	EMBL Australia Biomedical Informatics Group, Infection &amp; Immunity Theme, South Australian Medical and Health Research Institute, Adelaide, Australia.	England
27853510	2016	CoNet app: inference of biological association networks using Cytoscape.	F1000Research	Center for the Biology of Disease, VIB, Leuven, 3000, Belgium; Microbiology Unit, Faculty of Sciences and Bioengineering Sciences, VUB, Brussel, 1050, Belgium; Department of Microbiology and Immunology, REGA Institute, KU Leuven, 3000, Belgium.	England
27855613	2016	HOXB7 and Hsa-miR-222 as the Potential Therapeutic Candidates for Metastatic Colorectal Cancer.	Recent patents on anti-cancer drug discovery	Chemical Injuries Research Center, Baqiyatallah University of Medical Sciences, Tehran, P.O. Box: 19945-581, Iran. m-iman@alumnus.tums.ac.ir.	United Arab Emirates
27853520	2016	dot-app: a Graphviz-Cytoscape conversion plug-in.	F1000Research	Department of Computer Science and Engineering, UC San Diego, San Diego, USA.	England
27846294	2016	Identification and Verification of Potential Therapeutic Target Genes in Berberine-Treated Zucker Diabetic Fatty Rats through Bioinformatics Analysis.	PloS one	College of Pharmacy, Zhejiang Chinese Medical University, Hangzhou, Zhejiang, People's Republic of China.	United States
27840954	2016	Identfication of key miRNAs in pancreatitis using bioinformatics analysis of microarray data.	Molecular medicine reports	Department of Hepatobiliary Surgery, The First Affiliated Hospital of Chinese PLA General Hospital, Beijing 100048, P.R. China.	Greece
27840927	2016	Systematic analysis of mRNA expression profiles in NSCLC cell lines to screen metastasis-related genes.	Molecular medicine reports	State Key Laboratory of Oncogenes and Related Genes, Shanghai Cancer Institute, Renji Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai 200032, P.R. China.	Greece
27835046	2016	Identifying miRNA regulatory mechanisms in preeclampsia by systems biology approaches.	Hypertension in pregnancy	a First Department of Obstetrics and Gynaecology , Semmelweis University , Budapest , Hungary.	England
27834916	2016	Systematic Analysis of Protein Interaction Network Associated with Azoospermia.	International journal of molecular sciences	Department of Biological and Health Sciences, Faculty of Bioscience &amp; Medical Engineering, Universiti Teknologi Malaysia, 81310 Johor, Malaysia. soudabehsabet@gmail.com.	Switzerland
27831650	2016	Critical genes of hepatocellular carcinoma revealed by network and module analysis of RNA-seq data.	European review for medical and pharmacological sciences	Department of Hepatopathy,Wuxi No. 5 People's Hospital, Wuxi, China. chendhhs@163.com.	Italy
27830058	2016	AutoAnnotate: A Cytoscape app for summarizing networks with semantic annotations.	F1000Research	The Donnelly Centre, University of Toronto, Toronto, Canada.	England
27829444	2016	Potential molecular characteristics in situ in response to repetitive UVB irradiation.	Diagnostic pathology	Department of Dermatology, Nanjing First Hospital, Nanjing Medical University, 68 Changle Road, Nanjing, Jiangsu, 210006, China. 115366110132@163.com.	England
27814735	2016	Gene expression profiles and protein-protein interaction networks in amyotrophic lateral sclerosis patients with C9orf72 mutation.	Orphanet journal of rare diseases	College of Life Science and Biotechnology, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai, 200240, China.	England
27802793	2016	Identification of crucial miRNAs and the targets in renal cortex of hypertensive patients by expression profiles.	Renal failure	a Department of Pediatrics , The First Hospital of Jilin University , Changchun , China.	England
27797457	2016	Graph theoretical analysis, insilico modeling, design, and synthesis of compounds containing benzimidazole skeleton as antidepressant agents.	Chemical biology &amp; drug design	International Research Centre, Kalasalingam University, Krishnankoil, Tamilnadu, India.	England
27794559	2016	A Cytoscape app for motif enumeration with ISMAGS.	Bioinformatics (Oxford, England)	Department of Plant Systems Biology, VIB, Ghent 9052, Belgium.	England
26510741	2016	Altered Blood Gene Expression of Tumor-Related Genes (PRKCB, BECN1, and CDKN2A) in Alzheimer's Disease.	Molecular neurobiology	Alzheimer's Disease and Other Cognitive Disorders Unit, Neurology Service, Hospital Clínic, Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain. antonell@clinic.ub.es.	United States
27667480	2016	Integrated analysis of DNA methylation and RNA‑sequencing data in Down syndrome.	Molecular medicine reports	Department of Colorectal Anal Surgery, The First Hospital of Jilin University, Changchun, Jilin 130021, P.R. China.	Greece
27666388	2016	Transcriptional profile of SH-SY5Y human neuroblastoma cells transfected by Toxoplasma rhoptry protein 16.	Molecular medicine reports	Department of Parasitology and Microbiology, School of Basic Medical Sciences, Fudan University, Shanghai 200032, P.R. China.	Greece
27765602	2016	Spatial and temporal structure of the clinical research based on mesenchymal stromal cells: A network analysis.	Cytotherapy	Department of Anatomical Sciences and Radiology, Dental Faculty, Paul Sabatier University, Toulouse University Hospital, Toulouse, France; STROMALab, Université de Toulouse, CNRS ERL 5311, EFS, INP-ENVT, Inserm U1031, UPS, Toulouse, France. Electronic address: paul.monsarrat@gmail.com.	England
27765529	2016	Identification of key genes involved in nasopharyngeal carcinoma.	Brazilian journal of otorhinolaryngology	Cangzhou Central Hospital, Department of Otorhinolaryngology, Cangzhou, Hebei, China.	Brazil
