pmid	year	title	journal	affiliation	country
27928960	2016	Research Advances in Molecular Modeling in Cyclodextrins.	Current pharmaceutical design	State Key Laboratory of Quality Research in Chinese Medicine, Institute of Chinese Medical Sciences (ICMS), University of Macau, Macau, China. defangouyang@umac.mo.	Netherlands
27853520	2016	dot-app: a Graphviz-Cytoscape conversion plug-in.	F1000Research	Department of Computer Science and Engineering, UC San Diego, San Diego, USA.	England
27777109	2016	In silico analysis of differential gene expressions in biliary stricture and hepatic carcinoma.	Gene	Department of Biotechnology &amp; Bioinformatics, Yogi Vemana University, Kadapa 516003, Andhra Pradesh, India. Electronic address: mkgupta.bioinfo@gmail.com.	Netherlands
27729352	2016	Evolution of primary care databases in UK: a scientometric analysis of research output.	BMJ open	Centre for Health Innovation, Leadership and Learning (CHILL), Nottingham University Business School, Nottingham, UK.	England
27086506	2016	HiQuant: Rapid Postquantification Analysis of Large-Scale MS-Generated Proteomics Data.	Journal of proteome research	EMBL Australia Biomedical Informatics Group, Infection &amp; Immunity Theme, South Australian Health and Medical Research Institute , North Terrace, Adelaide, South Australia 5000, Australia.	United States
27030797	2016	Analyzing the Chinese landscape in anti-diabetic drug research: leading knowledge production institutions and thematic communities.	Chinese medicine	State Key Laboratory of Quality Research in Chinese Medicine, Institute of Chinese Medical Sciences, University of Macau, Macao, China.	England
26970371	2016	A web-based survey of horse owners' perceptions and network analysis of horse movements relating to African horse sickness distribution in Namibia and South Africa.	Acta tropica	Unit for Environmental Sciences and Management, North-West University, Potchefstroom campus, Private Bag X6001, Potchefstroom 2520, South Africa; Faculty of Education Sciences, School for Natural Sciences and Technology for Education, North-West University, Potchefstroom campus, Private Bag X6001, Potchefstroom 2520, South Africa. Electronic address: Danica.LiebenbergWeyers@nwu.ac.za.	Netherlands
26924143	2016	Knowledge mapping analysis of Ebola research.	Bratislavske lekarske listy	NA	Slovakia
26863411	2016	Analysis of publically available skin sensitization data from REACH registrations 2008-2014.	ALTEX	Center for Alternatives to Animal Testing (CAAT), Johns Hopkins Bloomberg School of Public Health, Environmental Health Sciences, Baltimore, MD, USA.	United States
26719978	2016	Using Co-authorship Networks to Map and Analyse Global Neglected Tropical Disease Research with an Affiliation to Germany.	PLoS neglected tropical diseases	Institute for Social Medicine, Epidemiology and Health Economics, Charité-Universitätsmedizin Berlin, Berlin, Germany.	United States
26704067	2015	FoodMicrobionet: A database for the visualisation and exploration of food bacterial communities based on network analysis.	International journal of food microbiology	Dipartimento di Scienze, Università degli Studi della Basilicata, Potenza, Italy. Electronic address: eugenio.parente@unibas.it.	Netherlands
25602893	2015	When advocacy obscures accuracy online: digital pandemics of public health misinformation through an antifluoride case study.	American journal of public health	Brittany Seymour and Elsbeth Kalenderian are with the Department of Oral Health Policy and Epidemiology, Harvard School of Dental Medicine, Boston, MA. Rebekah Getman is with the Harvard Global Health Institute, Cambridge, MA. Avinash Saraf and Lily H. Zhang are students at Harvard College, Cambridge, and interns at the Harvard Global Health Institute, Cambridge.	United States
25340971	2014	Allosteric pathway identification through network analysis: from molecular dynamics simulations to interactive 2D and 3D graphs.	Faraday discussions	Bioinformatics, Molecular Dynamics &amp; Modeling (BiMoDyM), Laboratoire de Biologie et Pharmacologie Appliquée (LBPA UMR8113 CNRS), École Normale Supérieure de Cachan, 61 avenue du Président Wilson, 94235 Cachan, France. Luba.Tchertanov@lbpa.ens-cachan.fr.	England
25000497	2014	DyCoNet: a Gephi plugin for community detection in dynamic complex networks.	PloS one	Department of Informatics, King's College London, Strand, London, United Kingdom.	United States
24987669	2014	Clinic-genomic association mining for colorectal cancer using publicly available datasets.	BioMed research international	Department of Biomedical Engineering, Key Laboratory for Biomedical Engineering of Ministry of Education, Zhejiang University, Hangzhou 310027, China.	United States
24914678	2014	ForceAtlas2, a continuous graph layout algorithm for handy network visualization designed for the Gephi software.	PloS one	Sciences Po, médialab, Paris, France; Equipex DIME SHS, Paris, France; Gephi Consortium, Paris, France.	United States
27433520	2014	A Computational Framework for Tracing the Origins of Genomic Islands in Prokaryotes.	International scholarly research notices	Department of Computer Science, East Stroudsburg University, 200 Prospect Street, East Stroudsburg, PA 18301, USA.	United States
25954579	2014	Visualizing and evaluating the growth of multi-institutional collaboration based on research network analysis.	AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science	College of Health Science, University of Wisconsin Milwaukee.	United States
23401611	2013	Genetically encoded pH-indicators reveal activity-dependent cytosolic acidification of Drosophila motor nerve termini in vivo.	The Journal of physiology	Department of Physiology, University of Texas Health Science Center at San Antonio, San Antonio, TX 78229, USA.	United States
20484371	2010	ToppCluster: a multiple gene list feature analyzer for comparative enrichment clustering and network-based dissection of biological systems.	Nucleic acids research	Division of Biomedical Informatics, Cincinnati Children's Hospital Medical Center, Cincinnati, OH, USA.	United States
