pmid	forename_lastname	affiliation
28022092	B_J_Thibodeau	William Beaumont Hospital, Royal Oak, MI.
28022092	T_J_Geddes	William Beaumont Hospital, Royal Oak, MI.
28022092	S_Ahmed	William Beaumont Hospital, Royal Oak, MI.
28022092	B_L_Pruetz	William Beaumont Hospital, Royal Oak, MI.
28022092	P_Y_Chen	William Beaumont Hospital, Royal Oak, MI.
28022092	G_D_Wilson	William Beaumont Hospital, Royal Oak, MI.
28022092	J_A_Akervall	William Beaumont Hospital, Royal Oak, MI.
28021976	N_Daraselia	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
28021976	Y_Wang	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
28021976	A_Budoff	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
28021976	A_Lituev	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
28021976	O_Potapova	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
28021976	J_Monforte	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
28021976	V_Ossovskaya	Ariadne Inc., Rockville, MD; AltheaDx, San Diego, CA; Cureline Inc., South San Francisco, CA; BiPar Sciences, South San Francisco, CA.
27924190	Sreedevi_Chandrasekaran	Center for the Study of Biological Complexity, Virginia Commonwealth University, Richmond, VA, USA.
27924190	Danail_Bonchev	Center for the Study of Biological Complexity, Virginia Commonwealth University, Richmond, VA, USA.
27859320	Chris_Cheadle	Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland.
27859320	Hongbao_Cao	Department of Genomics Research, R&amp;D Solutions, Rockville, Maryland.
27859320	Andrey_Kalinin	Department of Genomics Research, R&amp;D Solutions, Rockville, Maryland.
27859320	Jaqui_Hodgkinson	Department of Genomics Research, R&amp;D Solutions, Rockville, Maryland.
27857161	Joelle_Makoukji	Department of Biochemistry and Molecular Genetics, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Nadine_J_Makhoul	Department of Biochemistry and Molecular Genetics, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Maya_Khalil	Department of Internal Medicine, University of Miami Miller SOM Regional Campus, 5301 S. Congress Avenue, Atlantis City, Fl 33462, US.
27857161	Sally_El-Sitt	Department of Biochemistry and Molecular Genetics, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Ehab_Saad_Aldin	Department of Radiology, University of Iowa Hospitals and Clinics, 200 Hawkins Drive, Iowa City, IA 52242, US.
27857161	Mark_Jabbour	Department of Pathology and Laboratory Medicine, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Fouad_Boulos	Department of Pathology and Laboratory Medicine, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Emanuela_Gadaleta	Centre for Molecular Oncology, Barts Cancer Institute, Queen Mary University of London, Charterhouse Square, London EC1M 6BQ, UK.
27857161	Ajanthah_Sangaralingam	Department of Pathology and Laboratory Medicine, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Claude_Chelala	Centre for Molecular Oncology, Barts Cancer Institute, Queen Mary University of London, Charterhouse Square, London EC1M 6BQ, UK.
27857161	Rose-Mary_Boustany	Neurogenetics Program and Division of Pediatric Neurology, Department of Pediatrics and Adolescent Medicine, American University of Beirut Medical Center, Beirut, Lebanon.
27857161	Arafat_Tfayli	Department of Internal Medicine, American University of Beirut Medical Center, Beirut, Lebanon.
27653868	Natalia_Kondratieva	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia.
27653868	Julia_Azimova	University Headache Clinic, Moscow, Russia.
27653868	Kirill_Skorobogatykh	University Headache Clinic, Moscow, Russia.
27653868	Alexey_Sergeev	University Headache Clinic, Moscow, Russia; Department of Neuroscience, Scientific-Research Centre, Sechenov First Moscow State Medical University, Moscow, Russia.
27653868	Elena_Naumova	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia; University Headache Clinic, Moscow, Russia.
27653868	Zarema_Kokaeva	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia.
27653868	Arina_Anuchina	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia.
27653868	Olga_Rudko	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia.
27653868	Gyuzyal_Tabeeva	University Headache Clinic, Moscow, Russia; Department of Neuroscience, Scientific-Research Centre, Sechenov First Moscow State Medical University, Moscow, Russia.
27653868	Eugene_Klimov	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia; University Diagnostic Laboratory, Moscow, Russia. Electronic address: klimov_eugeney@mail.ru.
27536272	Himanshu_Manchanda	Research Group Systems Biology and Bioinformatics, Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoell InstituteJena, Germany; Department of Virology and Antiviral Therapy, Jena University HospitalJena, Germany.
27536272	Nora_Seidel	Department of Virology and Antiviral Therapy, Jena University Hospital Jena, Germany.
27536272	Markus_F_Blaess	Integrated Research and Treatment Center - Center for Sepsis Control and Care, Jena University HospitalJena, Germany; Department of Anaesthesiology and Intensive Care Medicine, Research Unit Experimental Anesthesiology, Jena University HospitalJena, Germany.
27536272	Ralf_A_Claus	Integrated Research and Treatment Center - Center for Sepsis Control and Care, Jena University HospitalJena, Germany; Department of Anaesthesiology and Intensive Care Medicine, Research Unit Experimental Anesthesiology, Jena University HospitalJena, Germany.
