pmid	year	title	journal	affiliation	country
27934951	2016	Biological marks of early-life socioeconomic experience is detected in the adult inflammatory transcriptome.	Scientific reports	Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London, Norfolk Place, W2 1PG London, UK.	England
27924190	2016	Network analysis of human post-mortem microarrays reveals novel genes, microRNAs, and mechanistic scenarios of potential importance in fighting huntington's disease.	Computational and structural biotechnology journal	Center for the Study of Biological Complexity, Virginia Commonwealth University, Richmond, VA, USA.	Sweden
27922821	2016	Identification of Salvia haenkei as gerosuppressant agent by using an integrated senescence-screening assay.	Aging	Laboratory for Research and Development in Aging, Atrahasis S.r.l., 00189 Rome, Italy.	United States
27902488	2016	What influences preneoplastic colorectal lesion recurrence?	Oncotarget	Biosciences Laboratory, Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST) IRCCS, Meldola (FC), Italy.	United States
27859320	2016	Advanced literature analysis in a Big Data world.	Annals of the New York Academy of Sciences	Department of Genomics Research, R&amp;D Solutions, Rockville, Maryland.	United States
27857161	2016	Gene expression profiling of breast cancer in Lebanese women.	Scientific reports	Department of Biochemistry and Molecular Genetics, American University of Beirut Medical Center, Beirut, Lebanon.	England
27849428	2016	Germline polymorphisms of the VEGF-pathway predict recurrence in non-advanced differentiated thyroid cancer.	The Journal of clinical endocrinology and metabolism	1 IOS &amp; COLEMAN Srl, Naples, Italy.	United States
27614411	2016	Synthesis and biological evaluation of new aryl-alkyl(alkenyl)-4-benzylpiperidines, novel Sigma Receptor (SR) modulators, as potential anticancer-agents.	European journal of medicinal chemistry	Department of Drug Sciences, Medicinal Chemistry and Pharmaceutical Technology Section, University of Pavia, Viale Taramelli 6 and 12, 27100, Pavia, Italy; Department of Pharmaceutical Chemistry, University of Vienna, Althanstrasse 14, 1090, Vienna, Austria.	France
27755239	2016	Pathophysiology of cardiotoxicity from target therapy and angiogenesis inhibitors.	Journal of cardiovascular medicine (Hagerstown, Md.)	aDivision of Cardiology, Istituto Nazionale per lo Studio e la Cura dei Tumor 'Fondazione Giovanni Pascale' - IRCCS bCEINGE Biotecnologie Avanzate S.C.A.R.L cDepartment of Breast Surgery and Cancer Prevention, Istituto Nazionale per lo Studio e la Cura dei Tumori 'Fondazione Giovanni Pascale' - IRCCS dDepartment of Molecular Medicine and Medical Biotechnology, University 'Federico II' eDepartment of Senology, Division of Breast Oncology Istituto Nazionale per lo Studio e la Cura dei Tumori 'Fondazione Giovanni Pascale' - IRCCS, Naples fClinic of Cardiovascular Diseases, IRCCS San Martino IST, Genoa gDepartment of Medical Sciences 'Mario Aresu', University of Cagliari, Cagliari, Italy.	United States
27708692	2016	In silico profiling for secondary metabolites from Lepidium meyenii (maca) by the pharmacophore and ligand-shape-based joint approach.	Chinese medicine	Institute of Medicinal Plant Development, Chinese Academy of Medical Sciences, Peking Union Medical College, 151 Malianwa N, Haidian District, Beijing, 100193 China ; Key Laboratory of Bioactive Substances and Resources Utilization of Chinese Herbal Medicine, Ministry of Education, Beijing, 100193 China.	England
27698885	2016	RANKL: A promising circulating marker for bone metastasis response.	Oncology letters	Osteoncology and Rare Tumors Center, Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST) IRCCS, I-47014 Meldola, Italy.	Greece
27653868	2016	Biomarkers of migraine: Part 1 - Genetic markers.	Journal of the neurological sciences	Faculty of Biology, Lomonosov Moscow State University, Moscow, Russia.	Netherlands
27574401	2016	Novel glyoxalase-I inhibitors possessing a &quot;zinc-binding feature&quot; as potential anticancer agents.	Drug design, development and therapy	Department of Medicinal Chemistry and Pharmacognosy.	New Zealand
27536272	2016	Differential Biphasic Transcriptional Host Response Associated with Coevolution of Hemagglutinin Quasispecies of Influenza A Virus.	Frontiers in microbiology	Research Group Systems Biology and Bioinformatics, Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoell InstituteJena, Germany; Department of Virology and Antiviral Therapy, Jena University HospitalJena, Germany.	Switzerland
27528625	2016	Androgen receptor signaling pathways as a target for breast cancer treatment.	Endocrine-related cancer	Department of Medical OncologyIstituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST) IRCCS, Meldola, Forlì-Cesena, Italy.	England
27497640	2016	The effects of Qi Teng Xiao Zhuo granules, traditional Chinese medicine, on the expression of genes in chronic glomerulonephritis rats.	Journal of ethnopharmacology	Department of Pharmacy, The First Affiliated Hospital of Anhui University of Chinese Medicine, 117 Meishan Road, Hefei 230031, China. Electronic address: zyfygjr2006@163.com.	Ireland
27494886	2016	Healthy CD4+ T lymphocytes are not affected by targeted therapies against the PI3K/Akt/mTOR pathway in T-cell acute lymphoblastic leukemia.	Oncotarget	Department of Morphology, Surgery and Experimental Medicine, University of Ferrara, Ferrara, Italy.	United States
27328024	2016	Forkhead box O member FOXO1 regulates the majority of follicle-stimulating hormone responsive genes in ovarian granulosa cells.	Molecular and cellular endocrinology	School of Molecular Biosciences and the Center for Reproductive Biology, Washington State University, Pullman WA 99163, USA. Electronic address: mkmeyer@vetmed.wsu.edu.	United States
27294148	2016	Mouse Models in Prostate Cancer Translational Research: From Xenograft to PDX.	BioMed research international	Animal Facility Unit, Department of Experimental Oncology, Istituto Nazionale per lo Studio e la Cura dei Tumori &quot;Fondazione G. Pascale&quot;, IRCCS, 80131 Naples, Italy.	United States
27269583	2016	Searching the literature for proteins facilitates the identification of biological processes, if advanced methods of analysis are linked: a case study on microgravity-caused changes in cells.	Expert review of proteomics	a Informationsvermittlung , Max-Planck Institute for Biochemistry , Martinsried , Germany.	England
27261558	2016	Resokaempferol-mediated anti-inflammatory effects on activated macrophages via the inhibition of JAK2/STAT3, NF-κB and JNK/p38 MAPK signaling pathways.	International immunopharmacology	Research Studio of Integration of Traditional and Western Medicine, First Hospital, Peking University, Beijing 100034, China.	Netherlands
27233742	2016	Maternal alterations in the proteome of the medial prefrontal cortex in rat.	Journal of proteomics	MTA-ELTE NAP B Laboratory of Molecular and Systems Neurobiology, Department of Physiology and Neurobiology, Institute of Biology, Hungarian Academy of Sciences and Eötvös Loránd University, Budapest, Hungary.	Netherlands
27209164	2016	BEVERLY: Rationale and Design of a Randomized Open-Label Phase III Trial Comparing Bevacizumab Plus Erlotinib Versus Erlotinib Alone as First-Line Treatment of Patients With EGFR-Mutated Advanced Nonsquamous Non-Small-Cell Lung Cancer.	Clinical lung cancer	Division of Medical Oncology, S.G. Moscati Hospital, Avellino, Italy. Electronic address: cgridelli@libero.it.	United States
27183521	2016	Pathophysiology of cardiotoxicity from target therapy and angiogenesis inhibitors.	Journal of cardiovascular medicine (Hagerstown, Md.)	aDivision of Cardiology, Istituto Nazionale per lo Studio e la Cura dei Tumor 'Fondazione Giovanni Pascale' - IRCCS bCEINGE Biotecnologie Avanzate S.C.A.R.L cDepartment of Breast Surgery and Cancer Prevention, Istituto Nazionale per lo Studio e la Cura dei Tumori 'Fondazione Giovanni Pascale' - IRCCS dDepartment of Molecular Medicine and Medical Biotechnology, University 'Federico II' eDepartment of Senology, Division of Breast Oncology Istituto Nazionale per lo Studio e la Cura dei Tumori 'Fondazione Giovanni Pascale' - IRCCS, Naples fClinic of Cardiovascular Diseases, IRCCS San Martino IST, Genoa gDepartment of Medical Sciences 'Mario Aresu', University of Cagliari, Cagliari, Italy.	United States
27070589	2016	Pathways Regulating Spheroid Formation of Human Follicular Thyroid Cancer Cells under Simulated Microgravity Conditions: A Genetic Approach.	International journal of molecular sciences	Plastic, Aesthetic and Hand Surgery, Otto-von-Guericke University Clinic, Leipziger Str. 44, 39120 Magdeburg, Germany. stefan.riwaldt@med.ovgu.de.	Switzerland
27015814	2016	Targeting CXCR4 by a selective peptide antagonist modulates tumor microenvironment and microglia reactivity in a human glioblastoma model.	Journal of experimental &amp; clinical cancer research : CR	Department of Cell Biology and Neurosciences, Istituto Superiore di Sanità, Rome, Italy.	England
26934559	2016	CXCR4/CXCL12/CXCR7 axis is functional in neuroendocrine tumors and signals on mTOR.	Oncotarget	Molecolar Immunology and Immuneregulation, Istituto Nazionale per lo Studio e la Cura dei Tumori - IRCCS Naples &quot;Fondazione G. Pascale&quot;, Naples, Italy.	United States
26919063	2016	Schizandrin A Inhibits Microglia-Mediated Neuroninflammation through Inhibiting TRAF6-NF-κB and Jak2-Stat3 Signaling Pathways.	PloS one	Research Studio of Integration of Traditional and Western Medicine, First Hospital, Peking University, Beijing, 100034, China.	United States
26900251	2016	Role of bimodal stimulation for auditory-perceptual skills development in children with a unilateral cochlear implant.	Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	Audiology-Otology Unit and Cochlear Implant Referral Center, &quot;Bambino Gesù&quot; Pediatric Hospital, Rome, Italy.	Italy
26893366	2016	Early onset of hypertension and serum electrolyte changes as potential predictive factors of activity in advanced HCC patients treated with sorafenib: results from a retrospective analysis of the HCC-AVR group.	Oncotarget	Department of Medical Oncology, Istituto Scientifico Romagnolo per lo Studio e Cura dei Tumori (IRST) IRCCS, Meldola, Italy.	United States
26884679	2016	Toward Signaling-Driven Biomarkers Immune to Normal Tissue Contamination.	Cancer informatics	Department of Mathematics and Statistics, The College of New Jersey, Ewing, NJ, USA.	United States
26884398	2016	Inositol 1,4,5-trisphosphate (IP3)-dependent Ca2+ signaling mediates delayed myogenesis in Duchenne muscular dystrophy fetal muscle.	Development (Cambridge, England)	Laboratorio di Cellule Staminali, Dipartimento di Fisiopatologia medico-chirurgica e dei Trapianti, Università degli Studi di Milano, Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico, Milano, Centro Dino Ferrari, Via Francesco Sforza 35, Milan 20122, Centro Dino Ferrari, Italy.	England
