pmid	year	title	journal	affiliation	country
27695684	2016	Chronic respiratory disease in adults treated for tuberculosis in Khartoum, Sudan.	Public health action	Epi-Lab, Khartoum, Sudan.	France
27669402	2016	An economic evaluation of the Enhanced Recovery After Surgery (ERAS) multisite implementation program for colorectal surgery in Alberta.	Canadian journal of surgery. Journal canadien de chirurgie	From the Institute of Health Economics, Edmonton, Alta.(Thanh, Chuck); Alberta Health Services, Calgary, Alta. (Wasylak, Lawrence, Faris); the Faculty of Medicine and Health, School of Health and Medical Sciences, Department of Surgery, Örebro University, Örebro, Sweden (Ljungqvist); the Department of Oncology, University of Calgary, Calgary, Alta. (Nelson); the Department of Medicine, University of Alberta, Edmonton, Alta. (Gramlich).	Canada
27556919	2016	Health behaviours associated with indoor tanning based on the 2012/13 Manitoba Youth Health Survey.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Epidemiology and Cancer Registry, CancerCare Manitoba, Winnipeg, Manitoba, Canada.	Canada
27553398	2016	Psychometric properties of the Social Cognitive Theory questionnaire for physical activity in a sample of Iranian adolescent girl students.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Department of Health Education, Faculty of Medical Sciences, Tarbiat Modares University, Tehran, Islamic Republic of Iran.	Egypt
27441193	2016	Effect of botulinum toxin A and nitroglycerin on random skin flap survival in rats.	Plastic surgery (Oakville, Ont.)	Division of Plastic and Reconstructive Surgery, Imam Khomeini Hospital Complex, Tehran, Iran.	Canada
27429493	2016	Progress achieved in restricting the marketing of high-fat, sugary and salty food and beverage products to children.	Bulletin of the World Health Organization	Department of Human Nutrition, Foods, and Exercise, Virginia Tech, 223 Wallace Hall, 295 West Campus Drive, Blacksburg, Virginia 24061, United States of America .	Switzerland
27284702	2016	Strengthening the evidence and action on multi-sectoral partnerships in public health: an action research initiative.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Propel Centre for Population Health Impact, University of Waterloo, Waterloo, Ontario, Canada.	Canada
27240130	2016	Accuracy of the modified Hardinge approach in acetabular positioning.	Canadian journal of surgery. Journal canadien de chirurgie	From the Division of Orthopaedic Surgery, Department of Surgery, Schulich School of Medicine &amp; Dentistry, Western University, London, ON (Goyal, McCalden, Teeter, Lau, Howard, Lanting); the Department of Medical Biophysics, Schulich School of Medicine &amp; Dentistry, Western University, London, ON (Teeter)l; and the Surgical Innovation Program, Lawson Health Research Institute, London, ON (Teeter).	Canada
27231384	2016	[L'évaluation en ergothérapie pour contribuer à documenter l'aptitude : étude de cas: Contribution of occupational therapy to the assessment of competence: A case study].	Canadian journal of occupational therapy. Revue canadienne d'ergotherapie	NA	United States
27217169	2016	Next-generation sequencing workflows in veterinary infection biology: towards validation and quality assurance.	Revue scientifique et technique (International Office of Epizootics)	NA	France
27180738	2016	Descriptive epidemiology of physical activity among Omani adults: the Oman World Health Survey, 2008.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	World Health Organization Oman Country Office, Muscat, Oman.	International
27152056	2016	Community participation for transformative action on women's, children's and adolescents' health.	Bulletin of the World Health Organization	London School of Hygiene &amp; Tropical Medicine, London, England .	International
27147765	2016	Cross-country analysis of strategies for achieving progress towards global goals for women's and children's health.	Bulletin of the World Health Organization	Centre of Excellence for Universal Health Coverage, James P Grant School of Public Health, BRAC University, Dhaka, Bangladesh .	International
27117647	2016	Meals served to hypertensive and cardiac inpatients in Jordan: comparison with WHO and NIH dietary guidelines.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Department of Health Sciences, University of Qatar, Doha, Qatar; Jordan University of Science and Technology, Department of Nutrition and Food Technology, Amman, Jordan.	Egypt
27081850	2016	Visualization of Metabolic Interaction Networks in Microbial Communities Using VisANT 5.0.	PLoS computational biology	Bioinformatics Program, Boston University, Boston, Massachusetts, United States of America.	United States
27077792	2016	Interactive social media interventions to promote health equity: an overview of reviews.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Bruyère Research Institute, University of Ottawa, Ottawa, Ontario, Canada.	Canada
27051603	2016	Critical considerations for adopting the HIV 'treat all' approach in Zimbabwe: is the nation poised?	Public health action	AIDS and TB Department, Ministry of Health and Child Care, Harare, Zimbabwe ; Centre for Operational Research, International Union Against Tuberculosis and Lung Disease, Paris, France.	France
27047667	2016	Primary care physicians' perceived barriers and facilitators to conservative care for older adults with chronic kidney disease: design of a mixed methods study.	Canadian journal of kidney health and disease	Department of Community Health Sciences, Cumming School of Medicine, University of Calgary, Calgary, Alberta Canada.	England
27047555	2016	The CASA Trauma and Attachment Group (TAG) Program for Children who have Attachment Issues Following Early Developmental Trauma.	Journal of the Canadian Academy of Child and Adolescent Psychiatry = Journal de l'Academie canadienne de psychiatrie de l'enfant et de l'adolescent	Department of Psychiatry, University of Alberta, Edmonton, Alberta.	Canada
27034519	2016	Trends in socioeconomic disparities in a rapid under-five mortality transition: a longitudinal study in the United Republic of Tanzania.	Bulletin of the World Health Organization	Heilbrunn Department of Population and Family Health, Mailman School of Public Health, Columbia University, 60 Haven Avenue (B2), New York, NY 10032, United States of America (USA).	Switzerland
27007091	2016	Are patients willing to pay for total shoulder arthroplasty? Evidence from a discrete choice experiment.	Canadian journal of surgery. Journal canadien de chirurgie	From the R Adams Cowley Shock Trauma Center, Department of Orthopaedics, University of Maryland School of Medicine, Baltimore, MD (O'Hara, Slobogean); the Centre for Health Evaluation and Outcome Sciences, University of British Columbia, St. Paul's Hospital, Vancouver, BC (Mohammadi); the School of Pharmacy, Memorial University, St. John's, NF (Marra); the Department of Orthopaedics, St. Michael's Hospital, Toronto, Ont. (Vincente, McKee); and the Collaboration for Outcomes Research and Evaluation, Faculty of Pharmaceutical Sciences, University of British Columbia, Vancouver, BC (Khakban).	Canada
26996364	2016	Burnout among physicians and nursing staff working in the emergency hospital of Tanta University, Egypt.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Department of Public Health and Community Medicine, Faculty of Medicine, University of Tanta, Tanta, Egypt.	Egypt
26985083	2016	Interdisciplinary Systems-Based Intervention to Improve IV Hydration during Parenteral Administration of Acyclovir.	The Canadian journal of hospital pharmacy	MDCM, is an Internal Medicine Resident with the Department of Medicine, McGill University, Montréal, Quebec.	Canada
26973255	2016	Rationalising the role of Keratin 9 as a biomarker for Alzheimer's disease.	Scientific reports	Cell Biophysics Group, School of Life Sciences, University of Nottingham, University Park, Nottingham, United Kingdom.	United Kingdom
26925248	2016	Optimizing administrative datasets to examine acute kidney injury in the era of big data: workgroup statement from the 15(th) ADQI Consensus Conference.	Canadian journal of kidney health and disease	Tennessee Valley Health System (TVHS), Nashville Veterans Affairs Hospital, Nashville, TN USA ; Vanderbilt University Medical Center, Department of Medicine, Division of Nephrology and Hypertension, Vanderbilt Center for Kidney Diseases (VCKD), 1161 21st Avenue South, MCN S3223, Nashville, TN 37232 USA.	United States
26908964	2016	Building clinical trial capacity to develop a new treatment for multidrug-resistant tuberculosis.	Bulletin of the World Health Organization	Tropical Disease Foundation, Makati City, Philippines .	Switzerland
26878491	2016	Socioeconomic gradients in cardiovascular risk in Canadian children and adolescents.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Social Determinants and Science Integration Directorate, Health Promotion and Chronic Disease Prevention Branch, Public Health Agency of Canada, Ottawa, Ontario, Canada.	Canada
26857721	2016	Ageing and intergenerational family ties in Arab countries.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Lebanese Health Care Management Association, Beirut, Lebanon; Center for Studies on Aging, Beirut, Lebanon.	Egypt
26839454	2016	Reliability of the Berg Balance Scale as a Clinical Measure of Balance in Community-Dwelling Older Adults with Mild to Moderate Alzheimer Disease: A Pilot Study.	Physiotherapy Canada. Physiotherapie Canada	School of Physical Therapy; Gait and Brain Lab, Parkwood Hospital, Lawson Health Research Institute.	Canada
26812410	2016	Prevention of perineal hernia after laparoscopic and robotic abdominoperineal resection: review with illustrative case series of internal hernia through pelvic mesh.	Canadian journal of surgery. Journal canadien de chirurgie	From the Department of Surgery, Royal Columbian Hospital, University of British Columbia, Vancouver, BC (Melich); the Jewish General Hospital, McGill University, Montreal, QC (Gordon); the Department of Surgery, Yonsei University College of Medicine, Seoul, South Korea (Lim, Hur, Min, Baik, Kim); and the McGill University Health Centre, McGill University, Montreal, QC (Arena).	Canada
26788238	2016	Tumeurs rétropéritonéales primitives : Profils diagnostique, thérapeutique et anatomopathologique.	Canadian Urological Association journal = Journal de l'Association des urologues du Canada	Service d'Urologie A, CHU Ibn Sina, Rabat, Moroc.	Canada
26767175	2016	Setting priorities for a research agenda to combat drug-resistant tuberculosis in children.	Public health action	National Institute for Research in Tuberculosis (formerly Tuberculosis Research Centre), Chennai, India.	France
26750162	2016	Reliability and known-group validity of the Arabic version of the 8-item Morisky Medication Adherence Scale among type 2 diabetes mellitus patients.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Department of Community Health, Universiti Kebangsaan Malaysia Medical Centre, Kuala Lumpur, Malaysia.	Egypt
26715781	2015	Survey of Pharmacy Preceptors' Expectations and Experiences with Students on Rotations in an Inaugural Combined BScPhm/PharmD Class.	The Canadian journal of hospital pharmacy	BScPhm, MSc, PhD, is with Sunnybrook Health Sciences Centre, with a cross-appointment to the Leslie Dan Faculty of Pharmacy, University of Toronto, Toronto, Ontario.	Canada
26668441	2015	A telemedicine network for remote paediatric cardiology services in north-east Brazil.	Bulletin of the World Health Organization	Círculo do Coração de Pernambuco, Av. Portugal, 163 Paissandu, Recife PE, CEP 52010-010, Brazil .	Switzerland
26668438	2015	Rapid diagnostic tests for malaria.	Bulletin of the World Health Organization	Clinton Health Access Initiative, Inc., 383 Dorchester Avenue, Suite 400, Boston, MA 02127, United States of America (USA).	International
26668437	2015	The environmental profile of a community's health: a cross-sectional study on tobacco marketing in 16 countries.	Bulletin of the World Health Organization	Department for Health, University of Bath, Bath, England .	United Kingdom
26637088	2015	Obstetrical Anal Sphincter Injuries (OASIS): Prevention, Recognition, and Repair.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Kingston ON.	Netherlands
26637083	2015	Competency-Based Medical Education: Developing a Framework for Obstetrics and Gynaecology.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynaecology, University of Toronto, Toronto ON; Department of Obstetrics and Gynaecology, McMaster University, Hamilton ON; Department of Obstetrics and Gynaecology, Queens University, Kingston ON.	Netherlands
26637079	2015	Is Any Press Good Press? The Impact of Media Portrayals of Infertility on Young Adults' Perceptions of Infertility.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Psychology, University of Saskatchewan, Saskatoon SK.	Netherlands
26629725	2015	Canadian Contraception Consensus (Part 2 of 4).	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Ottawa ON.	Netherlands
26629721	2015	A Systematic Review of the Association Between Psychiatric Disturbances and Endometriosis.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Psychology, Lakehead University, Thunder Bay ON.	Netherlands
26629718	2015	Magnesium Sulphate for Eclampsia and Fetal Neuroprotection: A Comparative Analysis of Protocols Across Canadian Tertiary Perinatal Centres.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynaecology, University of British Columbia, Vancouver BC; Child and Family Research Institute, University of British Columbia, Vancouver BC.	Netherlands
26606712	2015	Canadian Contraception Consensus (Part 1 of 4).	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Ottawa ON.	Netherlands
26606708	2015	Transforming Maternal and Neonatal Outcomes in Tertiary Hospitals in Ghana: An Integrated Approach for Systems Change.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	University of North Carolina at Chapel Hill, Gillings School of Global Public Health, Chapel Hill NC.	Netherlands
26605558	2015	The Canadian Incidence Study of Reported Child Abuse and Neglect: a partnership.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Surveillance and Epidemiology Division, Public Health Agency of Canada, Ottawa, Ontario, Canada.	Canada
26605456	2015	Umbilical Cord Blood: Counselling, Collection, and Banking.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Halifax NS.	Netherlands
26605450	2015	An Evaluation Model for a Multidisciplinary Chronic Pelvic Pain Clinic: Application of the RE-AIM Framework.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynecology, University of Ottawa and the Ottawa Hospital Research Institute, Ottawa ON; School of Population and Public Health, University of British Columbia, Vancouver BC.	Netherlands
26605449	2015	Generalized Anxiety Disorder and Major Depressive Disorder in Pregnant and Postpartum Women: Maternal Quality of Life and Treatment Outcomes.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Reproductive Mental Health Program, BC Children's and Women's Hospital, Vancouver BC; Department of Obstetrics and Gynaecology, University of British Columbia, Vancouver BC; Department of Psychiatry, University of British Columbia, Vancouver BC; BC Mental Health and Addiction Services, Provincial Health Services Authority, Vancouver BC.	Netherlands
26600615	2015	Improving mortality data in Jordan: a 10 year review.	Bulletin of the World Health Organization	Directorate of Information and Research, Ministry of Health, Amman, Jordan .	Switzerland
26600612	2015	Interventions to improve adherence to treatment for paediatric tuberculosis in low- and middle-income countries: a systematic review and meta-analysis.	Bulletin of the World Health Organization	St Jude Children's Research Hospital, 262 Danny Thomas Place, MS 721, Memphis, TN 38105, United States of America (USA).	International
26549910	2015	Exposure to cold weather during a mass gathering in the Philippines.	Bulletin of the World Health Organization	World Health Organization Representative Office for the Philippines, Department of Health Compound, Sta Cruz, 1003 Manila, Philippines .	International
26549902	2015	An insecticide-treated bed-net campaign and childhood malaria in Burkina Faso.	Bulletin of the World Health Organization	Institute of Public Health, Medical School, Heidelberg University, Im Neuenheimer Feld 324, 69120 Heidelberg, Germany .	Switzerland
26487815	2015	Cognitive behavioral group therapy for anxiety: recent developments.	Dialogues in clinical neuroscience	Pôle de Psychiatrie de I'Enfant et de I'Adolescent, Centre Hospitalier de Rouffach, France.	France
26487812	2015	A history of anxiety: from Hippocrates to DSM.	Dialogues in clinical neuroscience	Maison des Adolescents du Haut-Rhin, Mulhouse, France.	France
26478628	2015	Road traffic crashes, injury and fatality trends in Sri Lanka: 1938-2013.	Bulletin of the World Health Organization	Department of Community Medicine, University of Peradeniya, Peradeniya, Sri Lanka .	Switzerland
26478615	2015	Emergency care in 59 low- and middle-income countries: a systematic review.	Bulletin of the World Health Organization	Department of Emergency Medicine, Harvard Medical School, 75 Francis Street, Boston, MA 02115, United States of America (USA).	United States
26478613	2015	Climate change, cash transfers and health.	Bulletin of the World Health Organization	Department of Public Health, University of Otago, Wellington, PO Box 7343, Wellington, New Zealand .	Switzerland
26478609	2015	New indicators for delay in initiation of antiretroviral treatment: estimates for Cameroon.	Bulletin of the World Health Organization	INSERM, Sorbonne Universités, UPMC Univ Paris 06, UMR_S 1136, Institut Pierre Louis d'Epidémiologie et de Santé Publique, F-75013, Paris, France .	Switzerland
26474231	2015	Adolescent Pregnancy Guidelines.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Ottawa ON.	Netherlands
26474228	2015	Hyperreactio Luteinalis: Maternal and Fetal Effects.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Division of Maternal-Fetal Medicine, Mount Sinai Hospital, Toronto ON; Department of Medicine, University of Toronto, Toronto ON.	Netherlands
26474226	2015	Detecting Breech Presentation Before Labour: Lessons From a Low-Risk Maternity Clinic.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Cumming School of Medicine, University of Calgary, Calgary AB.	Netherlands
26474225	2015	The Accuracy of Estimating Fetal Weight and Inter-Twin Weight Discordance by Ultrasound in Twin Pregnancies in Women With Increased Body Mass Index.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, Mount Sinai Hospital, University of Toronto, Toronto ON.	Netherlands
26462259	2015	Time to revisit the problem of CIN? The low incidence of acute kidney injury with and without contrast in hospitalized patients: an observational cohort study.	Canadian journal of kidney health and disease	Division of Nephrology, University of Western Ontario, London, ON Canada.	England
26447732	2015	Joint position paper on rural surgery and operative delivery.	Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la medecine rurale : le journal officiel de la Societe de medecine rurale du Canada	Bella Bella, BC.	Canada
26405059	2015	Contribution des acteurs régionaux à la réduction des inégalités sociales de santé : le cas de la France.	Global health promotion	Université d'Alberta, Edmonton, Canada.	England
26400709	2015	Factors influencing increased expertise for a sustainable workforce at a research centre in South Africa.	Public health action	Desmond Tutu TB Centre, Department of Paediatrics and Child Health, Stellenbosch University, Cape Town, South Africa.	France
26400702	2015	Activism on rifapentine pricing: removing cost barriers to improve the uptake of tuberculosis research innovations.	Public health action	Center for Tuberculosis Research, Johns Hopkins University, Baltimore, Maryland, USA.	France
26400601	2015	Map the gap: missing children with drug-resistant tuberculosis.	Public health action	Brigham and Women's Hospital, Boston, Massachusetts, USA ; Harvard Medical School, Boston, Massachusetts, USA.	France
26399289	2015	A smoking cessation intervention among tuberculosis patients in rural China.	Public health action	International Union Against Tuberculosis and Lung Disease (The Union), Beijing, China.	France
26380104	2015	Recurrence of crystalline nephropathy after kidney transplantation in APRT deficiency and primary hyperoxaluria.	Canadian journal of kidney health and disease	Division of Nephrology and Research Centre of the Centre Hospitalier de l'Université de Montréal and Université de Montréal, Montréal, Québec Canada ; Division of Nephrology, Hôpital Notre Dame, 1560 Sherbrooke Street East, Montreal, QC H2L 4 M1 Canada.	England
26378770	2015	Report Summary--Rio Political Declaration on Social Determinants of Health: A Snapshot of Canadian Actions 2015.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Social Determinants and Science Integration Directorate, Public Health Agency of Canada, Ottawa, Ontario, Canada.	Canada
26366824	2015	Prenatal Diagnosis Procedures and Techniques to Obtain a Diagnostic Fetal Specimen or Tissue: Maternal and Fetal Risks and Benefits.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Calgary AB.	Netherlands
